"Item","Color"
16,"Yellow"
16,"Blue"
16,"Black"
16,"White"
25,"Black"
25,"White"
21,"Orange"
21,"Black"
21,"White"
162,"Yellow"
162,"Blue"
162,"Black"
162,"White"
254,"Black"
254,"White"
254,"Red"
254,"Green"
218,"Orange"
218,"Black"
218,"White"
218,"Red"
218,"Green"
168,"Yellow"
168,"Blue"
168,"Black"
168,"White"
2599,"Black"
2599,"White"
2121,"Orange"
2121,"Black"
2121,"White"
16245,"Yellow"
16245,"Blue"
16245,"Black"
16245,"White"
25445,"Black"
25445,"White"
25445,"Red"
25445,"Green"
21833,"Orange"
21833,"Black"
21833,"White"
21833,"Red"
21833,"Green"
23,"Red"
23,"Green"
23,"Black"
77,"Green"
67,"Yellow"
67,"Black"
67,"Orange"
231,"Red"
231,"Green"
231,"Black"
773,"Green"
675,"Yellow"
675,"Black"
675,"Orange"
239,"Red"
239,"Green"
239,"Black"
770,"Green"
6755,"Yellow"
6755,"Black"
6755,"Orange"
2311,"Red"
2311,"Green"
2311,"Black"
77323,"Green"
6752,"Yellow"
6752,"Black"
6752,"Orange"
