Item|Description
0100-0109-01|U*M Doublechecker UNDRCTR MNT  
0100-0166-01|Enclosure,DMS,PKG,W/HARDWARE   
0100-0319-01|Test Board, POSEM 1            
0100-0447-01|Power Detacher II,BEIGE,W/UNIV 
0100-0451-02|ASSY,MULT,VIDEO OVERLAY CARD,W 
0100-0490-01|WALL MOUNT, 48                 
0100-0535-01|PACKAGED ASSY,UNDERCONVEYOR,RP 
0100-0595-01|JBOX,SENSORNET,SIX POSITION    
0100-0739-01|IBM 4680/4690                  
0100-0743-01|NCR 2127                       
0100-0743-02|NCR 7058,SERIAL INTERFACE      
0100-0749-06|PPI,NCR7450/7193-1105-9001,W/C 
0100-0770-03|PWR PACK,M2K,4CH,PACKED        
0100-0829-04|EPSON TM 270,SERIAL INTERFACE  
0100-0829-05|EPSON TM T-80,SERIAL INTERFACE 
0100-0829-06|EPSON 930 II S,SERIAL INTERFAC 
0100-0829-09|NCR 2567,SERIAL INTERFACE      
0100-0829-105|PPI, CHEVRON ROCKET PORT       
0100-0829-109|PPI, SAMSUNGER 650 SERIAL      
0100-0829-14|GILBARCO TCR 15,SERIAL INTERFA 
0100-0829-33|SUNTRONIC SM2000 SERIAL INTERF 
0100-0829-35|DRESSER WAYNE OLIVETTI         
0100-0829-38|EPSON TM290 SERIAL INTERFACE   
0100-0829-50|PPI,EPSON TM300 W/CABLES       
0100-0829-63|PRINTER INTFC,EPSON TM-T88 SER 
0100-0829-65|PRINTER INTERFACE,TEXACO WEST, 
0100-0829-68|PRNT INT,BTLE20AXIOHM7193 PRNT 
0100-0829-70|PRNT INTFC,GILBARCO G-SITE     
0100-0829-74|PPI, IBM 4610 SUREMARK SERIAL  
0100-0829-75|PPI,BEETLE20WITHAXIOHM7156PRNT 
0100-0829-79|INTERFACE-BEETLE20 W/AX7193    
0100-0829-83|PPI,AXIOXMA756/758(ESCPOS)W/CB 
0100-0829-93|AXIOHM A756 (7150 EMUL) SERIAL 
0100-0829-94|DATASYM 2020 SLIP PRINTER PORT 
0100-0841-01|CASIO CE 2104 INTERFACE        
0100-0841-04|CASIO TK 2700 INTERFACE        
0100-0841-107|PPI SAMSUNG SER 6500           
0100-0841-108|PRINTER INTERFACE,TEC FS/MA165 
0100-0841-13|CASIO TK 4300 INTERFACE        
0100-0841-39|TEC MA 1400 INTERFACE          
0100-0841-40|TEC MA 1600 INTERFACE          
0100-0841-44|OMRON RS 3410 DUAL INTERFACE   
0100-0841-55|SHARP ER 2396S INTERFACE       
0100-0841-75|SANYO ECR 635 INTERFACE        
0100-0841-97|PPI, SHARP ER-A570             
0100-0858-02|INTERFACE,STAR SP300 P         
