"Warehouse"|"Item"|"Onhand"|"Onorder"|"Allocated"|"HardAllocated"
100|"0100-0109-01"| 0474.000000| 0030.000000| 0131.000000|35.000000
100|"0100-0166-01"| 0094.000000| 0059.000000| 0047.000000|40.000000
100|"0100-0319-01"| 0003.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0447-01"| 0055.000000| 0000.000000| 0015.000000|5.000000
100|"0100-0451-02"| 0024.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0490-01"| 0004.000000| 0000.000000| 0006.000000|4.000000
109|"0100-0490-01"| 0002.000000| 0000.000000| 0019.000000|2.000000
100|"0100-0535-01"| 0003.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0595-01"| 0418.000000| 0227.000000| 0074.000000|73.000000
100|"0100-0739-01"| 0004.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0743-01"| 0007.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0743-02"| 0002.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0749-06"| 0003.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0770-03"| 0005.000000| 0000.000000| 0001.000000|1.000000
100|"0100-0829-04"| 0004.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0829-05"| 0007.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0829-06"| 0008.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0829-09"| 0007.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0829-105"| 0019.000000| 0000.000000| 0001.000000|1.000000
100|"0100-0829-109"| 0003.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0829-14"| 0003.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0829-33"| 0005.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0829-35"| 0001.000000| 0000.000000| 0002.000000|1.000000
100|"0100-0829-38"| 0004.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0829-50"| 0002.000000| 0000.000000| 0000.000000|0.000000
100|"0100-0829-63"| 0002.000000| 0000.000000| 0000.000000|0.000000
